 - 	8,9,10	0,1,2,4,5	8	4444	2000	4	4	0,40,65,73
 - 	8,9,10	12	8	424	2000	4	4	0,40,65,73
T	8,9,10	12	8	1,244,34	2000	4	9	0
L	96,97	0,5,7	0	1	1000	2	6	0
 - 	96,97	0,5,7	0	1	1000	2	6	26,71
 - 	96,97	0,2,4,5,7	0	1	1000	2	6	11,13
 - 	97,98	0,2,4,5,7	0	22	2000	3	4	0,40,65,73
 - 	97,98	0,2,4,5,7	0	22	2000	3	4	0,40,65,73
 - 	97,98	0,2,4,5,7	0	244	2000	3	4	0,40,65,73
 - 	99,100	0,1,2,4,5	0	442	2000	3	4	0,40,65,73
 - 	99,100	0,1,2,4,5	0	4444	2000	4	8	-1
 - 	99,100	12	0	424	2000	4	9	-1
T	98,99,100	12	0	1	1000	4	9	-1
 - 	101,102	0,5,7	2	1	2000	4	9	0
 - 	102,103	0,5,7	2	1	2000	2	6	26,71
 - 	101,103	0,2,4,5,7	3	1	2000	2	6	11,13
 - 	101,102	0,2,4,5,7	3	22	2000	3	4	0,40,65,73
 - 	101,02,103	0,2,4,5,7	4	22	2000	3	4	0,40,65,73
 - 	102,103,178	0,2,4,5,7	4	244	2000	4	9	32
 - 	103,104,178	0,1,2,4,5	6	442	2000	4	3	12
 - 	102,103,104,178	0,1,2,4,5	6	34,1	2000	4	9	73
 - 	102,103,104,178	12	8	34,43	2000	4	9	65
T	102,103,104,178	12	8	1	1000	4	9	65
L	129,130	0,5,7	0	1	1000	2	4	0,40,65,73
-	179,180	0,5,7	0	1	750	2	4	0,40,65,73
-	179,180	0,2,4,5,7	0	22	1300	3	4	0,40,65,73
-	143,144	0,2,4,5,7	0	22	1300	3	4	0,40,65,73
-	143,144,131	0,2,4,5,7	0	244	2000	3	4	0,40,65,73
-	179,180,131	0,2,4,5,7	0	442	2000	3	4	0,40,65,73
-	179,180,131	0,1,2,4,5	0	4444	2000	4	4	0,40,65,73
-	180,143,144,131	0,1,2,4,5	0	424	2000	4	4	0,40,65,73
-	180,143,144,131	12	0	34,43	1500	4	9	65
 T 	180,143,144,131	12	0	1	1000	4	9	65
-	26,27	0,5,7	2	1	750	2	4	0,40,65,73
-	28,29	0,5,7	2	1	750	2	4	0,40,65,73
-	30,31	0,2,4,5,7	3	1	750	2	4	0,40,65,73
-	32,33	0,2,4,5,7	3	22	1200	3	4	0,40,65,73
-	34,35	0,2,4,5,7	3	22	1200	3	4	0,40,65,73
-	36,37	0,2,4,5,7	4	244	2000	3	7	-1
-	38,39	0,1,2,4,5	5	442	2000	3	8	-1
-	26,28,31	0,1,2,4,5	5	4444	2000	4	8	-1
-	27,29,32	12	6	424	2000	4	9	-1
T	26,27,31,32	12	6	1	750	4	9	-1
L	12,13	0,5,7	0	1	750	2	4	0,40,65,73
-	13,14	0,5,7	0	1	750	2	4	0,40,65,73
-	14,15	0,2,4,5,7	0	1	750	2	4	0,40,65,73
-	15,16	0,2,4,5,7	2	22	1200	3	4	0,40,65,73
-	16,17	0,2,4,5,7	3	22	1200	3	4	0,40,65,73
-	17,18	0,2,4,5,7	4	244	1700	3	4	0,40,65,73
-	12,13,14	0,1,2,4,5	5	442	1700	3	8	-1
-	13,14,15	0,1,2,4,5	6	4444	1700	4	8	-1
-	14,15,16	12	7	424	1500	4	9	-1
T	16,17,18	12	7	1	750	4	9	-1
-	187,188	0,5,7	9	1	750	2	4	0,40,65,73
-	188,189	0,5,7	9	1	750	2	4	0,40,65,73
-	189,190	0,2,4,5,7	9	1	750	2	4	0,40,65,73
-	190,191	0,2,4,5,7	10	22	1200	3	4	0,40,65,73
-	191,192	0,2,4,5,7	10	22	1200	3	4	0,40,65,73
-	192,193	0,2,4,5,7	10	244	1700	3	4	0,40,65,73
-	187,188,189,190	0,1,2,4,5	8	442	1600	3	8	-1
-	188,189,190,191	0,1,2,4,5	8	4444	1500	4	8	-1
-	190,191,192,193	12	8	424	1500	4	9	-1
T	190,191,192,193	12	8	1	750	4	9	-1
L	19,20	0,5,7	0	1	750	2	4	0,40,65,73
-	20,21	0,5,7	0	1	750	2	4	0,40,65,73
-	21,22	0,2,4,5,7	0	1	750	2	4	0,40,65,73
-	22,23	0,2,4,5,7	2	22	1300	3	4	0,40,65,73
-	23,24	0,2,4,5,7	3	22	1300	3	4	0,40,65,73
-	24,25	0,2,4,5,7	4	244	1600	3	7	-1
-	19,22	0,1,2,4,5	5	442	1500	3	8	-1
-	20,23	0,1,2,4,5	6	4444	1500	4	8	-1
-	21,23,24	12	7	424	1500	4	9	-1
T	21,23,24	12	7	1	750	4	9	-1
-	13,14	0,5,7	9	1	750	2	4	0,40,65,73
-	14,15	0,5,7	9	1	750	2	4	0,40,65,73
-	15,16	0,2,4,5,7	9	22	1200	3	4	0,40,65,73
-	16,17	0,2,4,5,7	10	22	1200	3	4	0,40,65,73
-	17,18	0,2,4,5,7	10	244	1800	3	4	0,40,65,73
-	13,17	0,2,4,5,7	10	442	1800	3	8	-1
-	14,18	0,1,2,4,5	8	4444	1800	4	8	-1
-	15,17,18	0,1,2,4,5	8	424	1800	4	9	-1
-	15,17,18	12	8	34	1200	4	9	-1
T	15,17,18	12	8	1	750	4	9	-1
L	75,76	0,5,7	0	1	750	2	4	0,40,65,73
-	76,77	0,5,7	0	1	750	2	4	0,40,65,73
-	77,78	0,2,4,5,7	0	442	1800	3	4	0,40,65,73
-	78,79	0,2,4,5,7	0	442	1800	3	4	0,40,65,73
-	79,80	0,2,4,5,7	0	244	1800	3	7	-1
-	81,82	0,2,4,5,7	2	424	1800	3	8	-1
-	83,84	0,1,2,4,5	2	34	1500	4	8	-1
-	85,86	0,1,2,4,5	2	43	1500	4	9	-1
-	87,88	12	2	244,34	1200	4	9	-1
T	85,86,87,88	12	2	1	750	4	9	-1
-	40,41	0,5,7	3	1	750	2	4	0,40,65,73
-	42,43	0,5,7	3	1	750	2	4	0,40,65,73
-	43,44	0,2,4,5,7	3	1	750	2	4	0,40,65,73
-	44,45	0,2,4,5,7	4	22	1000	3	4	0,40,65,73
-	45,46	0,2,4,5,7	4	22	1000	3	7	-1
-	46,47	0,2,4,5,7	4	244	1800	3	7	-1
-	47,48	0,1,2,4,5	5	442	1800	3	8	-1
-	48,49	0,1,2,4,5	5	4444	1800	4	8	-1
-	49,50	12	5	424	1800	4	9	-1
T	50,51,52,53	12	5	1	750	4	9	-1
L	54,55	0	0	1	750	2	4	0,40,65,73
-	56,57	0	0	1	750	2	4	0,40,65,73
-	58,59	0	0	1	750	2	4	0,40,65,73
-	60,61	0	2	442	1800	3	4	0,40,65,73
-	62,63	0	2	442	1800	3	4	0,40,65,73
-	64,65	0,5	2	244	1800	3	4	0,40,65,73
-	66,67	0,5	3	424	1800	3	8	-1
-	54,55,56	0,5,7	3	34	1500	4	8	-1
-	57,58,59,60	0,5,7	3	43	1500	4	9	-1
T	57,58,59,60	0,5,7	3	1	750	4	9	-1
-	68,69	0	4	1	750	2	4	0,40,65,73
-	69,70	0	4	1	750	2	4	0,40,65,73
-	70,71	0	5	1	750	2	4	0,40,65,73
-	71,72	0	5	442	1800	3	4	0,40,65,73
-	72,73	0	6	442	1800	3	4	0,40,65,73
-	73,74	0,5	6	244	1800	3	7	-1
-	68,69,70	0,5	7	424	1800	3	8	-1
-	68,69,70	0,5,7	7	34	1500	4	8	-1
-	71,72,73,74	0,5,7	8	43	1500	4	9	-1
T	71,72,73,74	0,5,7	8	1	750	4	9	-1
L	146,147,148	0	0	1	1000	2	6	0,65,73
-	149,150,151	0	0	1	1000	2	6	0,65,73
-	152,153,154	0	0	1	1000	2	6	0,65,73
-	155,156,157	0	0	1	1000	3	6	0,65,73
-	158,159,160	0	0	1	1000	3	7	0,65,73
-	161,162,163	0,5	0	1	1000	3	6	0,65,73
-	164,165,166	0,5	0	1	1000	3	7	0,65,73
-	167,168,169	0,5,7	0	1	750	4	7	0,65,73
-	170,171,172	0,5,7	0	1	750	4	7	0,65,73
-	173,174,175	0,5,7	0	1	750	4	4	0,40,65,73
-	146,147,148,170	0	2	1	1000	4	4	0,40,65,73
-	149,150,151,171	0	2	1	1000	4	4	0,40,65,73
-	151,152,153,172	0	3	1	1000	4	4	0,40,65,73
-	152,153,154,173	0	3	1	1000	4	4	0,40,65,73
-	155,156,157,174	0	4	1	750	4	4	0,40,65,73
-	158,159,160,175	0,5	4	1	750	4	4	0,40,65,73
-	161,162,163,176	0,5	5	1	750	4	4	0,40,65,73
-	164,165,166,177	0,5,7	5	1	500	4	4	0,40,65,73
-	167,168,169,177	0,5,7	6	1	500	4	4	0,40,65,73
T	167,168,169,177	0,5,7	6	1	750	4	9	-1
L	137,138	0	0	1	1000	2	4	0,40,65,73
-	138,139	0	0	1	1000	4	4	0,40,65,73
-	138,139	0	0	1	1000	4	4	0,40,65,73
-	138,139	0	0	1	1000	4	4	0,40,65,73
-	139,140	0	0	1	1000	4	4	0,40,65,73
-	139,140	0,5	0	1	750	4	4	0,40,65,73
-	139,140	0,5	0	1	750	4	4	0,40,65,73
-	141,142	0,5,7	0	1	500	4	4	0,40,65,73
-	141,142	0,5,7	0	1	500	4	4	0,40,65,73
T	141,142	0,5,7	0	1	750	4	9	-1
-	139,140,141	0	2	1	750	2	4	0,40,65,73
-	140,141,142	0	2	1	750	3	4	0,40,65,73
-	141,142,145	0	3	1	750	3	4	0,40,65,73
-	137,138,139,145	0	3	1	750	3	4	0,40,65,73
-	137,138,139,145	0	4	1	750	3	4	0,40,65,73
-	140,141,142,145	0,5	4	1	750	4	4	0,40,65,73
-	140,141,142,145	0,5	5	1	750	4	4	0,40,65,73
-	137,139,142,145	0,5,7	5	1	750	4	4	0,40,65,73
-	137,139,142,145	0,5,7	6	1	750	4	4	0,40,65,73
T	137,139,142,145	0,5,7	6	1	750	4	9	-1
L	89,90	0	0	1	1000	2	4	0,40,65,73
-	90,91	0	0	1	1000	2	4	0,40,65,73
-	91,92	0	0	1	1000	2	4	0,40,65,73
-	92,93	0	0	1	1000	3	4	0,40,65,73
-	93,94	0	2	1	1000	3	4	0,40,65,73
-	94,95	0,5	2	1	1000	3	4	0,40,65,73
-	89,90,91	0,5	2	1	1000	3	4	0,40,65,73
-	92,92,93	0,5,7	3	1	750	4	7	-1
-	94,105,106	0,5,7	3	1	750	4	7	-1
T	94,106,107	0,5,7	3	1	750	4	7	-1
-	95,108,109	0	4	1	750	4	8	-1
-	105,110,111	0	4	1	750	4	8	-1
-	106,112,113	0	5	1	750	4	8	-1
-	107,114,115	0	5	1	750	4	9	-1
-	108,116,117	0	6	1	750	4	9	-1
-	105,108,118	0,5	6	1	750	4	9	-1
-	109,132,133	0,5	8	1	750	4	9	-1
-	134,135,136	0,5,7	8	1	750	4	9	-1
-	132,133,134,136	0,5,7	8	1	750	4	9	-1
T	132,133,134,136	0,5,7	8	1	750	4	9	-1
L	119,120	0	0	1	1000	2	4	0,40,65,73
-	121,122	0	0	1	1000	2	4	0,40,65,73
-	123,124	0	0	1	1000	2	4	0,40,65,73
-	125,126	0	0	1	1000	3	4	0,40,65,73
-	127,128	0	0	1	1000	3	4	0,40,65,73
-	119,120,121	0,5	0	1	750	3	4	0,40,65,73
-	119,120,121	0,5	0	1	750	3	4	0,40,65,73
-	122,123,124,125	0,5,7	0	1	750	4	4	0,40,65,73
-	122,123,124,125	0,5,7	0	1	750	4	7	-1
-	122,123,124,125	0,5,7	0	1	750	4	7	-1
-	125,126,127	0	2	1	1000	4	8	-1
-	126,127,128	0	2	1	1000	4	8	-1
-	182,183	0	3	1	1000	4	8	-1
-	183,184	0	3	1	1000	4	9	-1
-	184,185	0	4	1	750	4	9	-1
-	185,186	0,5	4	1	750	4	9	-1
-	181,182,183,184	0,5	5	1	750	4	9	-1
-	181,182,183,184	0,5,7	5	1	750	4	9	-1
-	181,182,183,184	0,5,7	8	1	750	4	9	-1
T	181,182,183,184	0,5,7	8	1	750	4	9	-1
