-	M6	41	L6	29	10	2000	210	2000	A	9	26	1,4,6	0,19
-	M6	48	L6	35	15	1500	247	1600	A	3	33	1,4,6	0,11,19,26,40,42,71,9
-	M6	50	L6	36	20	1000	257	1500	L	8	40	1,4,6	0,19
-	M6,L6	59	T5,T4	42	30	750	300	2000	L	4	5	2,6,8	0,11,12,19,26,32,42,57,70,71
-	M6,L6	70	T5,T4	50	40	500	360	1600	P	2	9	2,6,8	0,11,12,19,26,32,42,57,70,71
-	M6,L6	41	M3,L3	29	10	2000	210	2000	A	3	12	2,6,8	0,11,12,19,26,32,42,57,70,71
-	M6,L6	48	M3,L3	35	15	1500	247	1600	A	10	11	2,6,8	0,11,12,19,26,32,42,57,70,71
-	L3,M3	50	M6,L6	36	20	1000	257	2000	L	0	54	9,10,11	0,11,12,19,26,32,42,57,70,71
-	M3,L6	59	L3,M6	42	30	750	300	1600	L	4	68	9,10,11	0,12,19,26,42,57,71
-	L3,M6	70	M3,L6	50	40	500	360	2000	P	5	89	9,10,11	0,12,19,32,42,57,70
-	L2,T4	41	M2,T5	29	10	2000	210	1600	P	6	145	0,5,7	0,19,32,42,57,70
-	L2,T4	48	M2,T5	35	15	1500	247	1500	P	3	194	0,5,7	0,11,19,26,40,42,71,9
-	L2,T4	50	M2,T5	36	20	1000	257	1500	P	2	154	0,5,7	0,11,12,19,26,32,42,57,70,71
-	L2,T4	59	M2,T5	42	30	750	300	1500	P	2	156	0,5,7	0,11,12,19,26,32,42,57,70,71
-	L2,T4	70	M2,T5	50	40	500	360	1500	P	8	170	1,4,6	0,19
-	T5,L2	35	T4,M2	25	10	2000	180	1800	A	9	5	1,4,6	0,19
-	T5,L2	41	T4,M2	30	15	1500	212	1600	A	3	6	1,4,6	0,11,19,26,40,42,71,9
-	T5,L2	59	T4,M2	42	20	1000	300	1500	L	8	75	1,4,6	0,19
-	T5,L2	68	T4,M2	49	30	750	350	1500	L	2	187	2,6,8	0,11,12,19,26,32,42,57,70,71
T	T5,L2	82	T4,M2	59	40	500	420	1500	P	2	19	2,6,8	0,11,12,19,26,32,42,57,70,71
L	T	35	T4	25	10	2000	180	2000	A	1	18	0,5,7	0,11,12,19,26,32,42,57,70,71
-	T	41	T5	30	15	1500	212	1800	A	2	26	0,5,7	0,11,12,19,26,32,42,57,70,71
-	T	59	M7	42	20	1000	300	1700	L	0	33	0,5,7	0,11,12,19,26,32,42,57,70,71
-	T	68	L2	49	30	750	350	1500	L	4	40	0,5,7	0,12,19,26,42,57,71
-	T4,T	82	T5	59	40	500	420	2000	P	5	9	1,4,6	0,12,19,32,42,57,70
-	T,T5	35	T4	25	10	2000	180	1600	A	6	12	1,4,6	0,19,32,42,57,70
-	M6,T	41	L6	30	15	1500	212	1500	A	3	11	1,4,6	0,11,19,26,40,42,71,9
-	T,L3	59	M3	42	20	1000	300	1500	L	2	54	1,4,6	0,11,12,19,26,32,42,57,70,71
-	T,M3	68	L3	49	30	750	350	1500	L	2	68	2,6,8	0,11,12,19,26,32,42,57,70,71
-	L6,T	82	M6	59	40	500	420	1500	P	8	89	2,6,8	0,19
-	L2,T	35	M2	25	10	2000	180	1500	P	9	145	2,6,8	0,19
-	M2,T	41	L2	30	15	1500	212	1500	P	3	194	2,6,8	0,11,19,26,40,42,71,9
-	M7,T	59	L7	42	20	1000	300	1500	P	8	154	9,10,11	0,19
-	L7,T	68	M7	49	30	750	350	1500	P	4	156	9,10,11	0,11,12,19,26,32,42,57,70,71
T	T8,T	82	T1	59	40	500	420	1500	P	10	170	9,10,11	0,11,12,19,26,32,42,57,70,71
L	M9	29	L9	21	10	2000	150	1500	A	3	5	0,5,7	0,11,12,19,26,32,42,57,70,71
-	L9	35	M9	25	15	1500	180	1500	A	5	6	0,5,7	0,11,12,19,26,32,42,57,70,71
-	M10 	41	L10	29	20	1000	210	1500	L	10	194	0,5,7	0,11,12,19,26,32,42,57,70,71
-	L10 	29	M10 	21	30	750	150	1500	L	4	187	0,5,7	0,12,19,26,42,57,71
-	T11	35	T12	25	40	500	180	1500	P	5	19	1,4,6	0,12,19,32,42,57,70
-	T12	41	T11	29	10	2000	210	1500	A	6	18	1,4,6	0,19,32,42,57,70
-	M13	29	L13	21	15	1500	150	1500	A	3	26	1,4,6	0,11,19,26,40,42,71,9
-	L13	35	M13	25	20	1000	180	1500	L	10	194	1,4,6	0,11,12,19,26,32,42,57,70,71
-	M9,L9	34	M10,L10	25	30	750	177	1500	L	4	40	2,6,8	0,11,12,19,26,32,42,57,70,71
-	M10,L10	41	M9,L9	30	40	500	212	1500	P	8	9	2,6,8	0,19
-	T11,T12	29	M10,L10	21	10	2000	150	1500	A	9	12	2,6,8	0,19
-	M13,L13	35	T12,M6	25	15	1500	180	1500	A	3	11	2,6,8	0,11,19,26,40,42,71,9
-	M9,L7	41	L9,M7	29	20	1000	210	1500	L	8	54	9,10,11	0,19
-	M9,M7	34	L9,L7	25	30	750	177	1500	L	4	68	9,10,11	0,11,12,19,26,32,42,57,70,71
-	M13,L6	41	L13,M6	30	40	500	212	1500	P	6	156	9,10,11	0,11,12,19,26,32,42,57,70,71
-	M13,M6	48	L13,L6	35	10	2000	247	1500	P	3	145	0,5,7	0,11,12,19,26,32,42,57,70,71
-	L13,M6	33	M13,L6	24	15	1500	172	1500	P	10	194	0,5,7	0,11,12,19,26,32,42,57,70,71
-	L13,L6	42	M13,M6	30	20	1000	215	1500	P	5	154	0,5,7	0,11,12,19,26,32,42,57,70,71
-	L10,M3	50	M10,L3	36	30	750	257	1500	P	4	156	0,5,7	0,12,19,26,42,57,71
-	M10,L3	39	L10,M3	28	40	500	200	1500	P	5	170	1,4,6	0,12,19,32,42,57,70
-	T,T11	34	T12	25	10	2000	177	1500	A	6	5	1,4,6	0,19,32,42,57,70
-	T,T12	33	T11,L7	24	15	1500	172	1500	A	3	6	1,4,6	0,11,19,26,40,42,71,9
-	L9,M13	42	M9,L13	30	20	1000	215	1500	L	10	154	1,4,6	0,11,12,19,26,32,42,57,70,71
-	M9,L13	50	L9,M13	36	30	750	257	1500	L	6	187	2,6,8	0,11,12,19,26,32,42,57,70,71
T	T11,L13	59	T12,M13	42	40	500	300	1500	P	6	19	2,6,8	0,19
L	T4,T5,T8	48	T,L6	35	10	2000	247	1500	A	9	18	0,5,7	0,19
-	T4,M6,T8	50	T5,L6	36	15	1500	257	1500	A	3	26	0,5,7	0,11,19,26,40,42,71,9
-	T4,T5,M7	59	T,L7	42	20	1000	300	1500	L	8	33	0,5,7	0,19
-	M3,L3,L7	59	M6,L6,M7	42	30	750	300	1500	L	4	40	0,5,7	0,11,12,19,26,32,42,57,70,71
-	M6,L6,L2	59	M3,L3,M2	42	40	500	300	1500	P	2	9	1,4,6	0,11,12,19,26,32,42,57,70,71
-	M7,L7,T5	48	M9,L9,T4	35	10	2000	247	1500	A	5	12	1,4,6	0,11,12,19,26,32,42,57,70,71
-	M2,T4,M7	50	L2,T5,L7	36	15	1500	257	1500	A	10	11	1,4,6	0,11,12,19,26,32,42,57,70,71
-	M2,L2,L3	59	M9,L9,M3	42	20	1000	300	1500	L	3	54	1,4,6	0,11,12,19,26,32,42,57,70,71
-	M2,L2,M3	59	M9,L9,L3	42	30	750	300	1500	L	4	68	2,6,8	0,12,19,26,42,57,71
-	T4,T5,M6	68	T11,L6	49	40	500	350	1500	P	5	89	2,6,8	0,12,19,32,42,57,70
-	T4,T5,L6	48	T12,M6	35	10	2000	247	1500	P	6	145	2,6,8	0,19,32,42,57,70
-	M7,L7,M9	50	M2,L2,L9	36	15	1500	257	1500	P	3	194	2,6,8	0,11,19,26,40,42,71,9
-	M2,M6,M9	59	L2,L6,L9	42	20	1000	300	1500	P	10	154	9,10,11	0,11,12,19,26,32,42,57,70,71
-	M3,L3,T11	59	L10,M6,T12	42	30	750	300	1500	P	4	156	9,10,11	0,11,12,19,26,32,42,57,70,71
-	T,L2,M7	59	M2,L7,M9	42	40	500	300	1500	P	8	170	9,10,11	0,19
-	T,T4,T5	48	T11,T12	35	10	2000	247	1500	A	9	5	2,6,8	0,19
-	T8,T,T11	59	T12,T5	42	15	1500	300	1500	A	3	6	2,6,8	0,11,19,26,40,42,71,9
-	M9,L9,M13	68	M2,L2,L13	49	20	1000	350	1500	L	8	75	9,10,11	0,19
-	L9,T12,L13	68	M9,T11,M13	49	30	750	350	1500	L	6	187	9,10,11	0,11,12,19,26,32,42,57,70,71
T	M9,T11,M13	68	L9,T12,L13	49	40	500	350	1500	P	10	19	9,10,11	0,11,12,19,26,32,42,57,70,71
