Pitch	B9	64	59	64	64	59	64	78	73	78	78	73	79	64	59	64	64	59	64	65	60	65	65	65	60	65	66	61	66	66	61	67	64	67	62	67	67	62	63	64	59	64	64	59	64	71	64	71	71	64	71	62	57	62	62	57	63	64	59	64	64	59	64	79	74	79	79	74	75	79	64	71	64	64	71	64	64	59	64	64	59	64	68	63	68	68	63	67	69	72	71	76	65	64	59	64	64	59	64	73	64	59	64	64	59	64	58	57	55	54	52	59	52	52	59	52	64	59	64	65	74
Rhythm	B9	22	1	1	22	1	1	34	1	1	1	34	1	22	1	1	22	1	1	34	1	1	34	34	34	1	22	1	1	22	1	34	1	43	1	1	43	1	244	22	1	1	22	1	1	1	9	7	1	3	5	1	7	9	9	1	1	9	3	5	7	1	9	22	1	1	22	1	244	1	34	1	1	34	1	34	22	1	1	22	1	1	34	1	1	1	34	1	9	5	5	9	1	22	1	1	22	1	1	5	22	1	1	22	1	1	5	1	9	1	34	1	1	34	22	1	22	1	1	22	4444
																																																																																																																									
Pitch	B10	74	75	76	78	80	76	64	66	68	64	66	68	67	69	71	67	69	72	71	64	62	60	64	62	60	68	70	72	68	70	73	64	74	76	75	74	76	77	64	59	64	75	64	59	64	64	59	64	62	60	64	66	68	64	66	68	64	62	60	64	62	62	60	64	66	68	64	66	66	68	69	64	69	69	64	64	62	60	64	62	60	64	66	68	64	66	68	64	59	64	64	59	64	64	62	60	64	62	60	64	62	61	64	59	64	64	59	64	59	65	69	72	77	76	81	83	84	64	84	81
Rhythm	B10	1	7	22	1	1	7	34	1	1	34	1	1	43	1	1	43	1	7	1	43	1	1	43	1	1	22	1	1	22	1	22	1	34	1	1	34	34	1	22	1	1	7	22	1	1	22	1	1	1	7	34	1	1	34	1	1	43	1	1	43	1	7	1	34	1	1	34	1	22	1	22	1	1	1	9	43	1	1	43	1	1	34	1	1	34	1	1	22	1	1	22	1	1	43	1	1	43	1	1	4444	7	4444	22	1	1	22	1	1	1	1	7	34	34	7	1	1	22	34	43	4444
																																																																																																																									
																																																																																																																									
Pitch	C1	71	64	59	64	64	59	64	64	62	60	64	62	60	64	66	68	64	66	68	64	59	64	69	71																																																																																																
Rhythm	C1	442	22	1	1	22	1	1	43	1	1	43	1	1	34	1	1	34	1	1	22	1	1	442	442																																																																																																
																																																																																																																									
Pitch	C2	68	66	64	59	64	64	59	64	64	66	66	68	64	62	60	64	62	62	60	64	62	60	64	62	60	64	59	64	64	59	64	64	66	68	64	66																																																																																				
Rhythm	C2	442	442	22	1	1	22	1	1	442	1	1	1	43	1	1	43	1	442	1	43	1	1	43	1	1	22	1	1	22	1	1	34	1	1	4444	442																																																																																				
																																																																																																																									
Pitch	C3	70	71	68	64	62	60	64	59	64	64	59	68	64	66	68	64	66	68	66	63	60	64	59	64	64	58	64	64	67	68	64	66	68	64	59	64	64	59	64	67	64	62	60	64	62	64	60	62																																																																								
Rhythm	C3	442	4444	22	43	1	1	22	1	1	22	1	442	34	1	1	34	1	1	442	244	442	22	1	1	34	1	34	1	4444	1	34	1	1	22	1	1	22	1	1	1	43	1	1	43	1	4444	1	1																																																																								
																																																																																																																									
Pitch	C4	64	71	68	64	59	64	64	59	64	66	68	64	62	60	64	62	64	62	60	64	59	64	64	59	64	64	66	68	64	66	71	64	62	60	58	64	59	64	64	59	64	64	62	60	64	66	68	64	66	68	64	62	60	64	62	60	64	59	64	71																																																												
Rhythm	C4	34	34	34	22	1	1	22	1	1	442	442	43	1	1	43	1	442	1	1	22	1	1	22	1	1	34	1	1	34	1	442	43	1	1	1	22	1	1	22	1	1	43	1	1	34	1	1	34	1	1	43	1	1	43	1	1	22	1	1	442																																																												
																																																																																																																									
Pitch	C5	71	69	68	66	64	59	64	64	59	68	59	64	66	68	64	66	68	64	62	60	64	66	68	64	66	68	63	64	59	64	64	59	64	60	64	64	62	60	64	62	68	76	64	66	68	64	66	68	76	64	59	59	64	59	64	71	66	71	64	59	64	64	59	64	76	64	66	68	64	66	68	76																																																
Rhythm	C5	1	1	244	1	22	1	22	1	1	1	1	34	1	1	34	1	1	43	1	1	34	1	1	34	1	1	1	22	1	1	22	1	1	244	244	43	1	1	43	1	4444	1	34	1	1	34	1	1	244	22	1	22	22	1	1	442	442	4444	22	1	1	22	1	1	244	34	1	1	34	1	1	244																																																
																																																																																																																									
Pitch	C6	71	70	-1	76	64	66	68	64	-1	68	64	59	64	-1	59	64	64	62	60	64	62	60	64	66	68	64	66	-1	64	59	64	64	59	64	70	64	59	64	-1	59	64	60	64	66	68	64	66	68	64	59	64	-1	59	64	68	64	-1	64	64	59	64	60	64	62	60	64	62	-1	64	59	-1	64	59	-1	64	66	68	64	66	68	71	64	62	60																																				
Rhythm	C6	442	1	-1	244	34	1	1	34	-1	1	22	1	1	-1	1	1	43	1	1	43	1	1	34	1	1	34	1	-1	22	1	1	22	1	1	244	22	1	1	-1	1	1	442	34	1	1	34	1	1	22	1	1	-1	1	1	244	22	-1	1	22	1	1	34	43	1	1	43	1	-1	22	1	-1	22	1	-1	34	1	1	34	1	1	4444	43	1	1																																				
